author,date,text
anabellnetanyaa,2019-08-20 02:48:53,"RT @serahlumett: Boas Salossa (orang papua) pernah patah kaki 2x karena membela timnas Indonesia, ""bukan membela Persipura"". 

Boas Salossa"
yovian21,2019-08-20 02:48:53,"RT @INABadminton: Selamat pagi. Selain #BWC2019, hari ini juga bergulir #MalaysiaJuniorIC. Berikut jadwal pemain Indonesia. https://t.co/gH"
FahriskaH,2019-08-20 02:48:53,"RT @NajwaShihab: Jika yang tergores ada padamu, yang mengerang haruslah suaraku.

Jika di timur ada yang terluka, di barat harus juga meras"
Jimeholow,2019-08-20 02:48:53,"RT @marlina_idha: Bagi rekan-rekan yg memiliki produk dan berkenan kami pasarkan produk nya, dalam INAgood, bisa DM no Telpon yg dapat kami"
angrahadian_,2019-08-20 02:48:53,RT @mailsetiawan_: Mungkin ilmu agama saya cetek tp yg saya tau negara ini mengajarkan kita untuk saling menghargai satu sama lain . Ingat
Ahn_dr__,2019-08-20 02:48:53,RT @aerizenxxra: NO OFFENSE BUT MEETING NCT DREAM IN INDONESIA ACTUALLY SUCKS https://t.co/wnUEUX0Zls
Flyin18T,2019-08-20 02:48:53,"Instead of new, more looking at used cars in Indonesia https://t.co/hd7TGBExM9"
iamjunghyunrim_,2019-08-20 02:48:54,"RT @GFRD_Global_twt: Buddy! How was Shopee Live yesterday? Exciting right? About that, would it be cool if GFRIEND appeared on one of the T"
amaral_ronny,2019-08-20 02:48:54,RT @Sudastika: 37) Kepada Pak Menpora juga selamat dan sukses untuk perhelatan Asian games 2018. Juga semua pihak yang susah payah lakukan
fharamadina,2019-08-20 02:48:55,Karna Indonesia bukan cuma JAWA. 
ny_tan_jun_kim,2019-08-20 02:48:55,"RT @NajwaShihab: Jika yang tergores ada padamu, yang mengerang haruslah suaraku.

Jika di timur ada yang terluka, di barat harus juga meras"
YODIE_7,2019-08-20 02:48:55,RT @HaiMagazine: Memek Resmi Ditetapkan Jadi Warisan Budaya Tak Benda Indonesia   https://t.co/N5CewNYVvS https://t.co/QA2rnFtyRf
FidelisOlowu,2019-08-20 02:48:55,"RT @SAMDIYYY: Which Country has the best twitter users ?  Let's settle this 

UK 
USA
Italy 
India
Brazil 
Kenya 
Ghana 
Nigeria
Canada
Ug"
marwantobudi1,2019-08-20 02:48:56,"RT @GFRD_Global_twt: Buddy! How was Shopee Live yesterday? Exciting right? About that, would it be cool if GFRIEND appeared on one of the T"
ris_staydmn,2019-08-20 02:48:56,"RT @ShaniBudi: Banyak yang baru tau kalau Indonesia punya superhero yang namanya Aquanus, krn namanya pasti jadi bahan becandaan sih tapi"
ragilsaputra645,2019-08-20 02:48:56,#TangkapAbuJanda
stevemakastevem,2019-08-20 02:48:56,"RT @elivalley: Update: Immeasurably corrupt:
https://t.co/ahM02OAYS6"
joardo_,2019-08-20 02:48:57,"RT @NajwaShihab: Jika yang tergores ada padamu, yang mengerang haruslah suaraku.

Jika di timur ada yang terluka, di barat harus juga meras"
